id,class,name,url,scope,state,evidence_role
GH-CTRMAP,code,CTRMap-CE,https://github.com/ds-pokemon-hacking/CTRMap-CE,Gen5 map/level framework,Enumerating,Direct technical
GH-ANIMA,code,AnimaEngine,https://github.com/KillDaWill/AnimaEngine,Battle sprite reconstruction,Enumerating,Direct technical
GH-PDSMS,code,Pokemon DS Map Studio,https://github.com/Trifindo/Pokemon-DS-Map-Studio,Gen5 map model pipeline,Registered,Direct technical
GH-ANDT,code,ANDT,https://github.com/javierhimura/ANDT,Historic Gen5 editor code,Enumerating,Direct technical
GH-NDSPY,infrastructure,ndspy,https://github.com/RoadrunnerWMC/ndspy,DS ROM/NitroFS/NARC formats,Enumerating,Direct technical
GH-NARC,infrastructure,narc,https://github.com/lhearachel/narc,NARC implementation,Registered,Direct technical
GH-TINKE,infrastructure,Tinke,https://github.com/pleonex/tinke,Nitro resource tool,Enumerating,Direct technical
GH-TINKEDSI,infrastructure,TinkeDSi,https://github.com/R-YaTian/TinkeDSi,DSi-enhanced resource handling,Enumerating,Direct technical
DSPKM-DOC,technical,DS Pokemon Hacking Docs,https://ds-pokemon-hacking.github.io/docs/,Gen5 technical guides,Enumerating,Reverse engineering
TCRF,development,The Cutting Room Floor,https://tcrf.net/,Unused/prerelease/regional differences,Blocked,Preservation
DATACRYSTAL,development,Data Crystal,https://datacrystal.tcrf.net/,ROM hacking knowledge,Enumerating,Secondary reference
BULBAPEDIA,secondary,Bulbapedia,https://bulbapedia.bulbagarden.net/,Release/localization/mechanics/events,Enumerating,Secondary reference
SEREBII,secondary,Serebii,https://www.serebii.net/blackwhite/,Events/mechanics/locations/distributions,Enumerating,Secondary reference
POKEDB,secondary,Pokemon Database,https://pokemondb.net/,Pokemon/move/game reference,Registered,Secondary reference
GAMEFAQS,secondary,GameFAQs,https://gamefaqs.gamespot.com/,Regional product codes/dates,Enumerating,Secondary reference
NOINTRO,catalog,No-Intro DAT-o-MATIC,unknown,Retail revisions/hashes,Candidate,Preservation
PHYSICAL-SCANS,preservation,Box/cart/manual scans,unknown,Region/revision identity,Enumerating,Preservation
GUIDES,official-secondary,Official/authorized guides,unknown,Contemporary game documentation,Candidate,Official/secondary
MAGAZINES,development,Contemporary magazines/press,unknown,Prerelease/interviews/screenshots,Candidate,Preservation
SOUNDTRACK,official,Official soundtrack releases,unknown,Audio/track metadata,Candidate,Official primary
BUG-RESEARCH,technical,Bug/glitch research,unknown,Reproduction and revision fixes,Candidate,Reverse engineering
